model,accuracy,precision,recall,f1_score,roc_auc
Baseline Random Forest,0.9751332149200711,0.9655172413793104,0.8842105263157894,0.9230769230769231,0.9982512370670265
Tuned Random Forest,0.9680284191829485,0.9184782608695652,0.8894736842105263,0.9037433155080213,0.9950910931174088
