mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.204641342163086,0.27981116746117346,1.0031558513641357,0.09514441648301117,300,10,2,sqrt,10,balanced,"{'model__n_estimators': 300, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__class_weight': 'balanced'}",0.8,0.7155425219941349,0.7836990595611285,0.7295597484276729,0.7547169811320755,0.7567036622230023,0.031743669495409625,11
5.665882635116577,0.8468006337203273,0.8228763103485107,0.5665528207098562,200,2,4,,20,balanced,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': None, 'model__max_depth': 20, 'model__class_weight': 'balanced'}",0.8316831683168316,0.7559523809523809,0.8012618296529969,0.7961165048543689,0.7987220447284346,0.7967471857010026,0.02412226694294503,3
13.299320602416993,0.15420259405028838,0.7008401393890381,0.24617495597503541,500,20,8,,30,balanced,"{'model__n_estimators': 500, 'model__min_samples_split': 20, 'model__min_samples_leaf': 8, 'model__max_features': None, 'model__max_depth': 30, 'model__class_weight': 'balanced'}",0.7810650887573964,0.7081081081081081,0.7582089552238805,0.712166172106825,0.7368421052631579,0.7392780858918736,0.027630015591383797,16
3.885341453552246,0.7343251093258318,0.8506438255310058,0.3249580318805361,100,5,4,,10,balanced,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': None, 'model__max_depth': 10, 'model__class_weight': 'balanced'}",0.8167202572347267,0.7441860465116279,0.7925696594427245,0.7861635220125787,0.7753846153846153,0.7830048201172547,0.023677664384056277,5
5.264397668838501,0.3489477316595026,0.8005663871765136,0.467253365222106,300,20,4,log2,10,balanced_subsample,"{'model__n_estimators': 300, 'model__min_samples_split': 20, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__class_weight': 'balanced_subsample'}",0.75,0.6855524079320113,0.7687687687687688,0.6900584795321637,0.7151515151515152,0.7219062342768918,0.032762366258144576,23
5.52014741897583,0.1382532079233024,0.6380414485931396,0.3682713344300845,500,2,4,log2,20,balanced,"{'model__n_estimators': 500, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': 'balanced'}",0.8063492063492064,0.7283582089552239,0.7795527156549521,0.7435897435897436,0.7603833865814696,0.7636466522261192,0.027330253191786977,10
7.1279291152954105,0.1781138250267228,0.48550100326538087,0.14049810757979764,300,20,8,,,balanced_subsample,"{'model__n_estimators': 300, 'model__min_samples_split': 20, 'model__min_samples_leaf': 8, 'model__max_features': None, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.7761194029850746,0.7029972752043597,0.7559523809523809,0.7256637168141593,0.7352941176470589,0.7392053787206067,0.025110988040162874,17
2.560821533203125,0.794174315471558,0.2866933822631836,0.2364914707135442,200,2,8,sqrt,10,balanced,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__class_weight': 'balanced'}",0.7659574468085106,0.6815642458100558,0.7551622418879056,0.6840579710144927,0.7289156626506024,0.7231315136343135,0.035065835144126874,22
5.145146656036377,0.1828530111610111,0.4949469089508057,0.09573030980895793,500,10,8,log2,20,balanced_subsample,"{'model__n_estimators': 500, 'model__min_samples_split': 10, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}",0.7584097859327217,0.6892655367231638,0.7604790419161677,0.6954022988505747,0.7147147147147147,0.7236542756274684,0.03041277433362269,21
6.198627853393555,0.8338669830540015,0.6607297420501709,0.24681942826392725,500,10,8,log2,5,balanced_subsample,"{'model__n_estimators': 500, 'model__min_samples_split': 10, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': 'balanced_subsample'}",0.6335078534031413,0.5925925925925926,0.6426735218508998,0.6054590570719603,0.6313131313131313,0.621109231246345,0.01887321206914665,28
6.564114284515381,0.4418187827646988,0.578578519821167,0.1659052090699996,300,2,8,,10,balanced_subsample,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 8, 'model__max_features': None, 'model__max_depth': 10, 'model__class_weight': 'balanced_subsample'}",0.7818181818181819,0.7103825136612022,0.7673716012084593,0.727810650887574,0.7359050445103857,0.7446575984171606,0.026199401357630887,13
12.677886056900025,0.18129551259127152,1.5527583599090575,1.0418534366077692,500,20,2,,30,balanced_subsample,"{'model__n_estimators': 500, 'model__min_samples_split': 20, 'model__min_samples_leaf': 2, 'model__max_features': None, 'model__max_depth': 30, 'model__class_weight': 'balanced_subsample'}",0.8113207547169812,0.7058823529411765,0.7876923076923077,0.7586206896551724,0.7592592592592593,0.7645550728529795,0.03529337400595745,8
1.4548029899597168,0.4819588935374463,0.5157235145568848,0.2746513427502774,100,2,8,sqrt,10,balanced,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__class_weight': 'balanced'}",0.7730061349693251,0.6836158192090396,0.7619047619047619,0.6878612716763006,0.7218934911242604,0.7256562957767376,0.036785820050239205,19
7.813180685043335,2.412093848627967,0.5817396163940429,0.30234541331189857,300,2,4,,30,balanced_subsample,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': None, 'model__max_depth': 30, 'model__class_weight': 'balanced_subsample'}",0.8172757475083057,0.7559523809523809,0.7961783439490446,0.7935483870967742,0.8,0.7925909719013011,0.020101761479647637,4
2.674530553817749,0.4302599607796202,0.42280211448669436,0.12110950822612396,200,10,4,log2,10,balanced_subsample,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__class_weight': 'balanced_subsample'}",0.7630769230769231,0.6976744186046512,0.7725856697819314,0.7151515151515152,0.7530864197530864,0.7403149892736215,0.028893011557456137,14
3.9857162952423097,0.4595938346068047,0.21451358795166015,0.052650551961307634,300,5,4,log2,15,balanced_subsample,"{'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 15, 'model__class_weight': 'balanced_subsample'}",0.8205128205128205,0.7283582089552239,0.780952380952381,0.73125,0.7579617834394905,0.7638070387719831,0.03423523261262416,9
