threshold,accuracy,precision,recall,f1_score,roc_auc,true_negative,false_positive,false_negative,true_positive,customers_flagged_as_churn,flagged_share
0.3,0.9786856127886323,0.8915094339622641,0.9947368421052631,0.9402985074626866,0.9982512370670265,913,23,1,189,212,0.1882770870337478
0.4,0.9822380106571936,0.9427083333333334,0.9526315789473684,0.9476439790575916,0.9982512370670265,925,11,9,181,192,0.1705150976909414
0.5,0.9751332149200711,0.9655172413793104,0.8842105263157894,0.9230769230769231,0.9982512370670265,930,6,22,168,174,0.15452930728241562
0.6,0.9635879218472468,0.9933774834437086,0.7894736842105263,0.8797653958944281,0.9982512370670265,935,1,40,150,151,0.1341030195381883
0.7,0.933392539964476,1.0,0.6052631578947368,0.7540983606557377,0.9982512370670265,936,0,75,115,115,0.10213143872113677
0.8,0.8916518650088809,1.0,0.35789473684210527,0.5271317829457365,0.9982512370670265,936,0,122,68,68,0.06039076376554174
